msisdn_crypte,Recency,Frequency,Monetary,Tenure_Months,Nb_Offers_Distinctes,Main_Offer,R_score,F_score,M_score,RFM_Score,RFM_Total,RFM_Weighted,Segment,Segment_Avance,Valeur,Life_Time,Montant_Moyen_Par_Achat,Frequency_Par_Mois,Monetary_Par_Mois,Cluster_KMeans,Churned,Churn_Proba,PC1,PC2
DEMO_00001,52,5,36.28,27.6,1,Demo Flex,1,3,2,132,6,2.1,Client moyen,Clients à risque,Valeur moyenne,25.7,7.26,0.181,1.32,1,0,0.1911,-0.1684,0.4245
DEMO_00002,63,8,103.85,35.9,1,Demo Connect,1,4,5,145,10,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,33.9,12.98,0.223,2.89,1,1,0.3668,0.6551,0.8682
DEMO_00003,33,8,173.99,24.6,3,Demo Plus,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,26.9,21.75,0.325,7.06,2,0,0.1691,1.8599,0.0158
DEMO_00004,15,2,19.54,22.4,3,Demo Plus,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,22.5,9.77,0.089,0.87,3,0,0.1162,-0.7638,0.2228
DEMO_00005,16,6,81.17,38.7,1,Demo Plus,4,3,4,434,11,3.7,Client fidèle,Clients à risque,Forte valeur,37.5,13.53,0.155,2.1,0,1,0.1562,1.0705,0.7263
DEMO_00006,20,7,31.55,23.7,2,Demo Max,3,4,2,342,9,2.8,Client fidèle,Clients fidèles,Valeur moyenne,22.6,4.51,0.296,1.33,2,1,0.125,-0.1247,-0.5879
DEMO_00007,4,2,22.83,30.5,3,Demo Plus,5,1,2,512,8,2.3,Client moyen,Clients prometteurs,Faible valeur,29.3,11.42,0.066,0.75,3,0,0.0802,-0.7016,0.3744
DEMO_00008,38,9,86.86,28.7,2,Demo Flex,2,5,4,254,11,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,27.7,9.65,0.314,3.03,1,0,0.2535,0.8473,-0.8242
DEMO_00009,30,5,98.05,38.6,2,Demo Plus,2,3,5,235,10,3.8,Client moyen,Clients à risque,Forte valeur,36.1,19.61,0.129,2.54,3,0,0.2051,0.2049,1.2996
DEMO_00010,22,2,14.82,20.0,1,Demo Start,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,19.5,7.41,0.1,0.74,3,1,0.2196,-1.8597,0.2686
DEMO_00011,27,3,26.2,46.5,1,Demo Connect,3,1,2,312,6,1.9,Client moyen,Clients à développer,Faible valeur,45.8,8.73,0.065,0.56,3,0,0.0228,-0.8905,0.7788
DEMO_00012,18,3,53.57,16.8,2,Demo Flex,4,1,3,413,8,2.6,Client moyen,Clients prometteurs,Valeur moyenne,15.3,17.86,0.178,3.19,3,0,0.1487,-0.0783,-0.0575
DEMO_00013,72,3,28.45,31.7,1,Demo Plus,1,1,2,112,4,1.5,Client à risque,Clients hibernants,Faible valeur,32.0,9.48,0.095,0.9,1,0,0.3564,-1.4844,1.0277
DEMO_00014,6,11,59.62,29.5,1,Demo Flex,5,5,4,554,14,4.5,Champion,Champions,Valeur moyenne,29.9,5.42,0.373,2.02,2,0,0.0702,1.8376,0.0625
DEMO_00015,4,4,162.34,15.8,1,Demo Max,5,2,5,525,12,4.1,Client moyen,Clients prometteurs,Forte valeur,14.7,40.58,0.253,10.28,0,0,0.1146,1.423,-0.7424
DEMO_00016,49,4,22.04,33.3,1,Demo Flex,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Faible valeur,33.0,5.51,0.12,0.66,1,1,0.2292,-1.2283,-0.929
DEMO_00017,27,5,48.13,21.0,1,Demo Plus,3,3,3,333,9,3.0,Client fidèle,Clients à développer,Valeur moyenne,25.3,9.63,0.238,2.29,3,0,0.1807,-0.2371,-0.0058
DEMO_00018,56,1,12.07,12.4,1,Demo Max,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,16.6,12.07,0.081,0.97,1,0,0.2858,-1.9271,-0.5859
DEMO_00019,33,8,92.45,35.8,1,Demo Start,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,33.7,11.56,0.223,2.58,2,1,0.2338,0.9597,0.4839
DEMO_00020,42,3,26.96,9.2,1,Demo Start,2,1,2,212,5,1.7,Client à risque,Clients hibernants,Faible valeur,7.4,8.99,0.326,2.93,1,0,0.2904,-1.1527,-0.1027
DEMO_00021,20,3,27.03,14.1,3,Demo Flex,3,1,2,312,6,1.9,Client moyen,Clients à développer,Faible valeur,11.9,9.01,0.214,1.92,3,0,0.1662,-0.6562,0.1942
DEMO_00022,53,8,70.12,24.5,2,Demo Plus,1,5,4,154,10,3.7,Client moyen,Ne doit pas les perdre,Forte valeur,26.6,8.77,0.327,2.87,1,0,0.2654,0.1419,0.4661
DEMO_00023,12,7,37.79,38.5,1,Demo Start,4,4,3,443,11,3.5,Client fidèle,Champions,Valeur moyenne,37.7,5.4,0.182,0.98,2,0,0.1287,0.3098,0.9826
DEMO_00024,31,6,195.27,34.5,1,Demo Start,2,3,5,235,10,3.8,Client moyen,Clients à risque,Forte valeur,35.0,32.54,0.174,5.66,2,0,0.196,1.1447,1.1285
DEMO_00025,15,7,61.86,27.3,1,Demo Plus,4,4,4,444,12,4.0,Champion,Champions,Valeur moyenne,31.3,8.84,0.256,2.27,2,0,0.0916,0.7469,0.531
DEMO_00026,33,2,27.7,7.0,2,Demo Flex,2,1,2,212,5,1.7,Client à risque,Clients hibernants,Faible valeur,7.0,13.85,0.284,3.93,3,0,0.2763,-0.7435,0.1281
DEMO_00027,77,4,33.19,16.3,2,Demo Plus,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Valeur moyenne,17.7,8.3,0.245,2.04,1,0,0.41,-1.1809,-0.3203
DEMO_00028,22,6,49.24,18.8,2,Demo Flex,3,3,3,333,9,3.0,Client fidèle,Clients à développer,Valeur moyenne,19.8,8.21,0.32,2.62,2,0,0.2518,0.9024,-0.9651
DEMO_00029,20,3,23.29,12.0,2,Demo Connect,3,2,2,322,7,2.2,Client moyen,Clients à développer,Faible valeur,10.8,7.76,0.251,1.95,3,0,0.2085,-0.2939,0.714
DEMO_00030,41,1,4.25,5.6,1,Demo Plus,2,1,1,211,4,1.2,Client à risque,Clients hibernants,Faible valeur,7.7,4.25,0.179,0.76,1,0,0.2001,-2.0482,-0.4716
DEMO_00031,18,7,63.92,25.2,1,Demo Flex,4,4,4,444,12,4.0,Champion,Champions,Forte valeur,23.5,9.13,0.278,2.54,2,1,0.2543,0.9997,0.3665
DEMO_00032,42,4,31.89,35.1,1,Demo Start,2,2,2,222,6,2.0,Client à risque,Clients hibernants,Valeur moyenne,37.8,7.97,0.114,0.91,1,0,0.0765,-0.5059,0.3207
DEMO_00033,28,3,56.99,17.8,1,Demo Plus,3,2,4,324,9,3.2,Client moyen,Clients à développer,Valeur moyenne,16.6,19.0,0.168,3.2,3,0,0.1965,-0.291,0.3004
DEMO_00034,3,9,46.48,38.2,1,Demo Start,5,5,3,553,13,4.0,Client fidèle,Champions,Valeur moyenne,37.2,5.16,0.236,1.22,2,0,0.0472,1.4461,-0.8844
DEMO_00035,4,2,14.52,8.4,2,Demo Start,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,6.2,7.26,0.239,1.73,3,0,0.2095,-1.1791,-0.6551
DEMO_00036,7,4,24.34,11.5,1,Demo Start,5,2,2,522,9,2.6,Client moyen,Clients prometteurs,Faible valeur,9.6,6.09,0.349,2.13,3,0,0.1108,-0.7903,-0.5699
DEMO_00037,7,8,176.41,24.9,2,Demo Start,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,24.0,22.05,0.322,7.09,0,0,0.0581,2.5603,-0.092
DEMO_00038,26,3,18.55,16.8,1,Demo Flex,3,2,1,321,6,1.7,Client moyen,Clients à développer,Faible valeur,12.0,6.18,0.178,1.1,3,0,0.1366,-1.4489,0.3034
DEMO_00039,5,7,95.12,33.4,1,Demo Max,5,4,5,545,14,4.7,Champion,Champions,Forte valeur,33.0,13.59,0.209,2.84,0,1,0.0528,1.548,-0.2983
DEMO_00040,2,6,102.04,30.3,2,Demo Connect,5,3,5,535,13,4.4,Client fidèle,Clients à risque,Forte valeur,29.2,17.01,0.198,3.37,0,1,0.0621,1.0286,0.4425
DEMO_00041,14,3,27.61,17.6,1,Demo Max,4,2,2,422,8,2.4,Client moyen,Clients prometteurs,Faible valeur,19.2,9.2,0.17,1.57,3,0,0.1001,-0.0673,0.4102
DEMO_00042,59,1,4.68,9.0,1,Demo Max,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,9.9,4.68,0.111,0.52,1,1,0.2645,-2.5524,0.7132
DEMO_00043,21,1,4.71,16.3,1,Demo Start,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,14.9,4.71,0.061,0.29,3,0,0.1648,-2.0921,0.3124
DEMO_00044,32,9,144.04,30.7,2,Demo Max,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,29.8,16.0,0.293,4.69,2,1,0.1553,1.9975,-0.3367
DEMO_00045,56,5,24.93,34.2,1,Demo Plus,1,3,2,132,6,2.1,Client moyen,Clients à risque,Faible valeur,33.8,4.99,0.146,0.73,1,0,0.164,-1.0094,-0.1449
DEMO_00046,7,5,61.87,16.9,3,Demo Connect,5,3,4,534,12,3.9,Client fidèle,Clients à risque,Valeur moyenne,19.8,12.37,0.296,3.67,3,0,0.0459,1.4433,0.4492
DEMO_00047,84,1,10.62,5.6,4,Demo Connect,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,3.9,10.62,0.179,1.91,1,0,0.5402,-2.6123,-0.1693
DEMO_00048,8,1,12.27,8.0,2,Demo Start,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,6.6,12.27,0.125,1.53,3,0,0.1464,-1.6333,-0.3982
DEMO_00049,16,5,64.64,29.2,1,Demo Max,4,3,4,434,11,3.7,Client fidèle,Clients à risque,Forte valeur,27.0,12.93,0.171,2.21,3,0,0.1358,0.5547,-0.5323
DEMO_00050,67,4,23.87,17.4,2,Demo Max,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Faible valeur,14.5,5.97,0.229,1.37,1,0,0.3892,-1.4687,-0.6683
DEMO_00051,17,4,23.33,17.7,1,Demo Max,4,2,2,422,8,2.4,Client moyen,Clients prometteurs,Faible valeur,18.3,5.83,0.226,1.32,3,0,0.2132,-0.575,0.0477
